en_term_processed;en_definition_processed;ru_term_processed;ru_definition_processed
acceler molecular dynam;comput method enhanc sampl molecular configur appli bia potenti acceler rare event enabl studi longtimescal process molecular simul;ускорен молекулярн динамик;вычислительн метод улучша выборк молекулярн конфигурац пут применен смеща потенциал ускорен редк событ позволя изуча долговремен процесс молекулярн моделирован
acceler;rate chang veloc object respect time vector quantiti magnitud direct;ускорен;скорост изменен скорост объект относительн времен векторн величин имеющ величин направлен
acceler free fall;acceler object free fall influenc graviti approxim 981 ms² near earth surfac;ускорен свободн паден;ускорен объект свободн паден действ сил тяжест примерн 981 мс² поверхн земл
accept;meet minimum requir standard satisfactori adequ qualiti;приемлем;соответств минимальн требован стандарт удовлетворительн достаточн качеств
accept wavefunct;wavefunct quantum mechan continu singlevalu squareintegr satisfi schrödinger equat;допустим волнов функц;волнов функц квантов механик явля непрерывн однозначн квадратичноинтегрируем удовлетворя уравнен шредингер
acceptor level;energi level semiconductor accept electron valenc band creat hole increas conduct;акцепторн уровен;энергетическ уровен полупроводник способн принима электрон валентн зон создав дырк увеличив проводим
accommod;process eye chang optic power maintain clear focu object distanc vari;аккомодац;процесс изменен оптическ сил глаз сохранен четк фокус объект изменен расстоян
acet acid;colorless organ acid formula ch3cooh main compon vinegar solvent chemic synthesi;уксусн кислот;бесцветн органическ кислот формул ch3cooh основн компонент уксус используем растворител химическ синтез
acetylen;colorless highli flammabl ga chemic formula c2h2 fuel chemic build block simplest alkyn burn hot flame make use weld cut metal;ацетил;бесцветн легковоспламеня газ химическ формул c2h2 используем топлив химическ строительн блок прост алкин гор горяч пламен дела полезн сварк резк металл
acidbas equilibria;dynam balanc acid base solut govern proton transfer reaction concentr reactant product remain constant time describ equilibrium constant like ka kb;кислотноосновн равновес;динамическ баланс кислот основан раствор определя реакц перенос протон концентрац реагент продукт оста постоя описыва констант равновес ka kb
acquisit convent;principl agreement physic chemistri system acquir properti compon surround specif condit;приобретательн конвенц;принцип соглашен физическ хим согласн систем приобрета свойств компонент окружа сред определен услов
actinoid actinid;seri 15 metal element actinium lawrencium period tabl character fill 5f electron shell;актиноид;сер 15 металлическ элемент актин лоуренс периодическ таблиц характеризующ заполнен 5фэлектрон оболочк
activ complex;transient highenergi intermedi state form chemic reaction repres highest potenti energi point reaction pathway;активирова комплекс;времен высокоэнергетическ промежуточн состоян образ ход химическ реакц представля точк максимальн потенциальн энерг пут реакц
activ complex theori;theori explain reaction rate consid intermedi transit state activ complex form convers reactant product;теор активирова комплекс;теор объясня скорост реакц промежуточн переходн состоян активирова комплекс образ превращен реагент продукт
activ energi;minimum energi requir chemic reaction occur repres ea arrheniu equat;энерг активац;минимальн энерг необходим протекан химическ реакц обознача ea уравнен аррениус
activ enthalpi;minimum enthalpi requir chemic reaction occur repres energi barrier reactant product;энтальп активац;минимальн энтальп необходим протекан химическ реакц представля энергетическ барьер реагент продукт
activ gibb energi;gibb free energi differ transit state reactant chemic reaction determin reaction rate;энерг гиббс активац;разност энерг гиббс переходн состоян реагент химическ реакц определя скорост реакц
activationcontrol limit;regim chemic kinet reaction rate determin activ energi barrier diffus transport process;активационноконтролируем предел;реж химическ кинетик скорост реакц определя энергетическ барьер активац диффуз транспортн процесс
activ site;specif region enzym substrat molecul bind undergo chemic reaction character uniqu threedimension structur chemic properti;активн центр;специфическ участок фермент молекул субстрат связыва подверга химическ реакц характериз уникальн трехмерн структур химическ свойств
activ site;specif region surfac catalyst reactant molecul adsorb undergo chemic reaction uniqu electron geometr properti;активн центр;специфичн участк поверхн катализатор молекул реагент адсорбир вступа химическ реакц уникальн электрон геометрическ свойств
activ;measur effect concentr speci solut account deviat ideal behavior interact particl;активн;мер эффективн концентрац частиц раствор учитыва отклонен идеальн поведен изз взаимодейств частиц
activ coeffici;factor account deviat ideal behavior solut quantifi effect concentr activ solut differ actual concentr interact speci;коэффициент активн;фактор учитыва отклонен идеальн поведен раствор показыва эффективн концентрац активн растворен веществ отлича реальн концентрац изз взаимодейств частиц
activ coeffici;dimensionless factor account deviat ideal behavior solut repres effect concentr solut quantifi interact molecul affect chemic potenti nonid system;коэффициент активн;безразмерн коэффициент учитыва отклонен идеальн поведен раствор представля эффективн концентрац растворен веществ описыва влиян межмолекулярн взаимодейств химическ потенциа неидеальн систем
addit;chemic reaction molecul combin form larger typic involv unsatur compound;присоединен;химическ реакц две молекул соединя образу крупн молекул участ ненасыщен соединен
addit polymer;polymer process unsatur monom link loss atom typic initi free radic ion catalyst form long polym chain byproduct;полимеризац механизм присоединен;процесс полимеризац ненасыщен мономер соединя потер атом инициируем свободн радикал ион катализатор образу длин полимерн цеп побочн продукт
addit work;extra work system revers work irrevers process like friction dissip;дополнительн работ;дополнительн работ соверша систем обратим работ обусловлен необратим процесс трен диссипац
adiabat approxim;simplif quantum mechan motion atom nuclei electron treat separ assum electron adjust instantan nuclear posit bornoppenheim approxim simplifi molecular system calcul;адиабатическ приближен;упрощен квантов механик движен ядер электрон рассматрива раздельн предполаг мгновен адаптац электрон положен ядер используем приближен борнаоппенгеймер
adiabat bomb calorimet;devic measur heat combust ignit sampl oxygenfil chamber surround water maintain adiabat condit prevent heat loss;адиабатическ бомбов калориметр;устройств измеря теплот сгоран пут воспламенен образц камер заполнен кислород окружен вод адиабатическ услов предотвращен потер тепл
adiabat boundari;boundari prevent heat transfer system surround maintain thermal isol;адиабатическ границ;границ предотвраща теплообм систем окружа сред обеспечив теплов изоляц
adiabat chang;process heat exchang surround typic occur rapidli thermal insul system;адиабатическ изменен;процесс происход обм тепл окружа сред происходя быстр термоизолирова систем
adiabat expans;thermodynam process ga expand heat transfer surround caus temperatur chang work ga;адиабатическ расширен;термодинамическ процесс газ расширя теплообм окружа сред привод изменен температур изз работ соверша газ
adiabat flame calorimet;devic measur heat combust burn sampl oxygenrich environ nearli adiabat condit prevent heat loss;адиабатическ калориметр пламен;прибор измерен теплот сгоран образец сжига кислородн сред практическ адиабатическ услов предотвраща потер тепл
adiabat process;thermodynam process heat transfer system result chang temperatur pressur sole work system;адиабатическ процесс;термодинамическ процесс происход теплообм окружа сред изменен температур давлен обусловл работ соверша систем
adsorb;substanc accumul surfac solid liquid adsorb form thin film process adsorpt involv intermolecular forc;адсорбат;веществ накаплива поверхн тверд тел жидкост адсорбент образу тонк пленк процесс адсорбц связа межмолекулярн сил
adsorpt;adhes atom ion molecul ga liquid dissolv solid surfac creat thin film;адсорбц;прилипан атом ион молекул газ жидкост растворен тверд веществ поверхн образован тонк сло
adsorpt constant;measur extent substanc adsorb surfac equilibrium defin ratio adsorb concentr concentr surround phase given temperatur;констант адсорбц;мер степен адсорбц веществ поверхн равновес определя отношен адсорбирова концентрац концентрац окружа фаз зада температур
adsorpt isotherm;graph show relationship adsorb surfac adsorb pressur concentr constant temperatur studi surfac properti interact;изотерм адсорбц;график показыва зависим количеств адсорбат поверхн адсорбент давлен концентрац постоя температур используем изучен поверхностн свойств взаимодейств
adsorptiondesorpt equilibrium;state rate adsorpt desorpt molecul surfac equal result dynam balanc molecul attach detach surfac equilibrium determin surfac concentr adsorb speci given condit;равновес адсорбциидесорбц;состоян скорост адсорбц десорбц молекул поверхн равн создав динамическ баланс присоединен отрыв молекул равновес определя поверхностн концентрац адсорбирова веществ услов
aedan;fluoresc dye molecular probe biochemistri biophys studi protein interact conform chang;аеданс;флуоресцентн красител используем качеств молекулярн зонд биохим биофизик изучен взаимодейств белк конформацион изменен
aerosol;suspens fine solid particl liquid droplet air ga;аэрозол;взве мелк тверд частиц капел жидкост воздух друг газ
ae;atom emiss spectroscopi techniqu analyz light emit excit atom determin element composit;аэс;атомноэмиссион спектроскоп метод анализ свет излуча возбужден атом определен элементн состав
afm;highresolut imag techniqu sharp probe scan surfac map topographi atom level mechan forc;атомносилов микроскоп;высокочувствительн метод микроскоп применя исследован поверхн атомарн разрешен помощ механическ зонд
aggreg equilibrium;dynam balanc system rate particl aggreg equal rate disaggreg maintain stabl distribut particl size;равновес агрегац;динамическ равновес систем скорост агрегац частиц равн скорост дезагрегац поддержива стабильн распределен размер частиц
alanin;nonessenti amino acid c3h7no2 involv protein synthesi glucos metabol commonli found protein;аланин;незаменим аминокислот c3h7no2 участвующ синтез белк метаболизм глюкоз встреча белк
albert einstein;theoret physicist develop theori rel pillar modern physic alongsid quantum mechan best known massenergi equival formula e mc² dub world famou equat;альберт эйнштейн;теоретическ физик разработа теор относительн осн современ физик извест формул эквивалентн масс энерг e mc²
alkalin batteri;type primari batteri deriv energi reaction zinc manganes dioxid alkalin electrolyt potassium hydroxid provid higher energi densiti longer shelf life compar zinccarbon batteri;щелочн батарейк;тип первичн источник ток энерг вырабатыва реакц цинк диоксид марганц щелочн электрол гидроксид кал облада больш энергоемк срок хранен сравнен солев батарейк
alloster regul;regul enzym protein bind effector molecul site activ site result conform chang alter activ;аллостерическ регуляц;регуляц активн фермент белк пут связыван эффекторн молекул активн центр вызыва конформацион изменен изменя активн
allotrop;differ structur form element physic state differ atom arrang molecular structur;аллотропн модификац;различн структурн форм элемент физическ состоян отлича атомн расположен молекулярн структур
allow transit;quantum transit state permit select rule typic involv chang dipol moment;разрешен переход;квантов переход состоян разрешен правил отбор связа изменен дипольн момент
alloy;metal substanc compos element compound solid solut properti superior pure metal wide engin industri;сплав;металлическ материа состоя двух элемент образ соединен тверд раствор улучшен свойств широк применя техник промышлен
amber;amber fossil tree resin appreci color beauti prehistor time jewelri ornament contain preserv prehistor insect plant materi;янтар;ископа смол дерев ценим цвет красот древн врем использ ювелирн издел содерж включен древн насеком растен
ammonia;colorless ga pungent smell compos nitrogen hydrogen nh wide fertil clean product industri applic key intermedi nitrogen cycl produc natur decompos organ matter;аммиак;бесцветн газ резк запах состоя азот водород nh широк используем удобрен чистя средств промышлен явля ключев промежуточн продукт круговорот азот образ разложен органик
substanc;physic quantiti measur number elementari entiti eg atom molecul sampl express mole;количеств веществ;физическ величин измеря количеств элементарн частиц атом молекул образц выража мол
amper;si base unit electr current defin constant current produc forc 2×10⁻⁷ newton meter parallel conductor infinit length neglig crosssect place meter apart vacuum;ампер;основн единиц сил электрическ ток си определя постоя ток созда сил 2×10⁻⁷ ньютон метр двум параллельн проводник бесконечн длин ничтожн мал сечен расположен расстоян метр вакуум
amphipath;molecul have hydrophil waterattract hydrophob waterrepel region found lipid surfact;амфипатическ;молекул имеющ гидрофильн притягива вод гидрофобн отталкива вод участк встреча липид поверхностноактивн веществ
angstrom;unit length equal 1010 meter primarili express atom molecular scale;ангстр;единиц длин равн 1010 метр используем преимуществен описан атомн молекулярн масштаб
angular;relat measur angl angl physic describ rotat motion direct properti;углов;относя измерен угл связа использ физик описан вращательн движен направлен свойств
angular frequenc;scalar measur rotat rate defin rate chang phase sinusoid waveform rate chang angl circular motion relat frequenc equat ω 2πf f frequenc;углов частот;скалярн мер скорост вращен определя скорост изменен фаз синусоидальн волн угл кругов движен связа частот уравнен ω 2πф f частот
angular momentum;vector quantiti repres rotat inertia veloc bodi point axi conserv isol system;момент импульс;векторн величин характеризующ вращательн движен тел точк ос сохраня замкнут систем
angular momentum compon;project angular momentum vector specif axe quantiz quantum system crucial describ rotat motion;компонент момент импульс;проекц вектор момент импульс определен ос квантуем квантов систем важн описан вращательн движен
angular momentum oper;quantum mechan oper repres angular momentum system obey specif commut relat describ rotat state;оператор углов момент;квантовомеханическ оператор представля углов момент систем подчиня определен коммутацион соотношен используем описан вращательн состоян
angular momentum quantiz;phenomenon quantum mechan angular momentum particl system restrict discret valu determin quantum state;квантован момент импульс;явлен квантов механик момент импульс частиц систем принима дискретн значен определя квантов состоян
angular momentum quantum number;quantum number determin shape electron orbit repres orbit angular momentum rang 0 n1 given princip quantum number n;орбитальн квантов числ;квантов числ определя форм орбита электрон представля орбитальн момент импульс принима значен 0 n1 главн квантов числ n
angular veloc;vector quantiti repres rate rotat object axi measur radian second rad;углов скорост;векторн величин характеризующ скорост вращен объект ос измеря радиан секунд радс
angular wavefunct;mathemat function describ angular depend quantum system wavefunct solv schrödinger equat atom;углов волнов функц;математическ функц описыва углов зависим волнов функц квантов систем используем решен уравнен шредингер атом
anharmon;deviat system behavior harmon oscil restor forc proport displac signific molecular vibrat affect energi level spectra;ангармоничн;отклонен поведен систем гармоническ осциллятор восстанавлива сил пропорциональн смещен важн молекулярн колебан вли уровн энерг спектр
anharmon constant;paramet quantifi deviat molecular vibrat harmon oscil behavior account bond dissoci high energi;ангармоническ постоя;параметр характериз отклонен молекулярн колебан гармоническ осциллятор учитыва разр связ высок энерг
anod;electrod electrochem cell oxid occur releas electron extern circuit posit termin galvan cell neg termin electrolyt cell;анод;электрод электрохимическ ячейк происход окислен высвобожда электрон внешн цеп гальваническ элемент положительн полюс электролитическ отрицательн
anod current densiti;electr current unit area anod surfac indic rate oxid reaction occur anod electrochem process;анодн плотност ток;электрическ ток единиц площад поверхн анод показыва скорост окислительн реакц происходя анод электрохимическ процесс
antiaromat;properti cyclic planar molecul 4n πelectron exhibit destabil conjug system lead higher energi reactiv compar aromat nonaromat compound;антиароматичн;свойств циклическ плоск молекул 4n πэлектрон проявля дестабилизац изз сопряжен систем привод повышен энерг реакцион способн сравнен ароматическ неароматическ соединен
antibond;type molecular orbit weaken chemic bond atom increas system energi compar separ atom;разрыхля;тип молекулярн орбита ослабля химическ связ атом увеличив энерг систем сравнен разделен атом
antibond orbit;molecular orbit form destruct combin atom orbit increas energi system destabil molecul electron orbit weaken bond atom;разрыхля орбитал;молекулярн орбитал образова деструктивн комбинац атомн орбитал увеличива энерг систем дестабилизирующ молекул электрон орбита ослабля связ атом
antibond orbit;molecular orbit form outofphas combin atom orbit result higher energi origin atom orbit destabil molecul reduc electron densiti nuclei;разрыхля орбита;молекулярн орбита образова противофазн комбинац атомн орбитал облада высок энерг уменьша электрон плотност ядр дестабилизир молекул
antiferromagnet;magnet order adjac atom spin align opposit direct result zero net magnet néel temperatur;антиферромагнетизм;магнитн упорядочен соседн атомн спин ориентирова противоположн направлен привод нулев намагничен температур неел
antifreez automot fluid;substanc ad vehicl cool system lower freez point rais boil point coolant prevent engin damag extrem temperatur corros;антифриз автомобильн жидкост;веществ добавля сист охлажден автомобил снижен температур замерзан повышен температур кипен охлажда жидкост предотвра поврежден двигател экстремальн температур корроз
antifreez car;liquid addit vehicl cool system lower freez point rais boil point coolant prevent engin damag extrem temperatur corros;антифриз автомобил;жидк добавк сист охлажден автомобил снижа температур замерзан повыша температур кипен охлажда жидкост защищ двигател поврежден экстремальн температур корроз
antinod;point stand wave amplitud vibrat maximum occur midway node wave displac zero key analyz wave pattern physic engin;пучност;точк стояч волн максимальн амплитуд колебан расположен узл смещен волн равн нул важн анализ волнов процесс физик техник
antiparallel spin;spin state particl electron spin align opposit direct lead zero net magnet moment;антипараллельн спин;состоян спин частиц электрон спин направл противоположн сторон привод нулев суммарн магнитн момент
antistok line;spectral line raman spectroscopi scatter photon higher energi incid photon result molecular transit higher vibrat state lower one;антистоксов лин;спектральн лин рамановск спектроскоп рассея фотон имеют энерг выш пада изз переход молекул высок колебательн уровн низк
antistok scatter;type raman scatter scatter photon higher energi incid photon typic interact excit molecular state;антистоксов рассеян;тип рамановск рассеян рассея фотон облада больш энерг пада изз взаимодейств возбужден молекулярн состоян
antisymmetr stretch;vibrat mode molecul bond stretch opposit direct lead chang molecular dipol moment;антисимметричн растяжен;вид колебательн движен молекул связ растягива противоположн направлен привод изменен дипольн момент молекул
antisymmetr wavefunct;quantum mechan wavefunct chang sign exchang ident fermion satisfi pauli exclus principl;антисимметричн волнов функц;квантовомеханическ волнов функц меня знак обмен мест двух идентичн фермион удовлетворя принцип паул
aperiod crystal;crystal structur lack translat symmetri mean atom arrang repeat period space;апериодическ кристалл;кристаллическ структур облада трансляцион симметр атомн расположен повторя периодическ пространств
approxim form;simplifi mathemat express describ complex system phenomena exact solut impract imposs obtain;приближен форм;упрощен математическ выражен используем описан сложн сист явлен точн решен получ невозможн непрактичн
approxim;method repres complex system valu simpler suffici close specif purpos mathemat model comput chemistri;аппроксимац;метод представлен сложн систем значен прост достаточн близк конкретн цел используем математическ моделирован вычислительн хим
area element;infinitesim element area integr surfac denot da ds mathemat express;элемент площад;бесконечн мал элемент площад используем интегрирован поверхн обознача da ds математическ выражен
argument complex number;angl posit real axi line join origin point repres complex number complex plane;аргумент комплексн числ;угол положительн действительн ос лин соединя нача координат точк представля комплексн числ комплексн плоскост
aromat stabil;except thermodynam stabil aromat compound deloc πelectron conjug ring system meet hückel rule 4n2 πelectron;ароматическ стабильн;исключительн термодинамическ устойчив ароматическ соединен обусловлен делокализац πэлектрон сопряжен циклическ систем удовлетворя правил хюккел 4n2 πэлектрон
array detector;devic consist multipl sensor arrang array simultan detect differ signal commonli spectroscopi imag;матричн детектор;устройств состоя множеств сенсор расположен масс одновремен обнаружен различн сигнал использ спектроскоп визуализац
arrheniu;concept chemic kinet describ temperatur depend reaction rate express arrheniu equat k eeart k rate constant preexponenti factor ea activ energi r ga constant t temperatur;аррениус;концепц химическ кинетик описыва зависим скорост реакц температур выражен уравнен аррениус k a eeart k констант скорост a предэкспоненциальн множител ea энерг активац r газов постоя t температур
arrheniu constant;preexponenti factor arrheniu equat repres frequenc collis reactant molecul correct orient influenc rate chemic reaction account temperaturedepend reaction kinet;констант аррениус;предэкспоненциальн множител уравнен аррениус учитыва частот столкновен реагент правильн ориентац влия скорост химическ реакц зависим температур
arrheniu equat;formula describ temperatur depend reaction rate given k eeart k rate constant preexponenti factor ea activ energi r ga constant t temperatur;уравнен аррениус;формул описыва зависим скорост реакц температур задава k a eeart k констант скорост a предэкспоненциальн множител ea энерг активац r газов постоя t температур
arrheniu paramet;constant arrheniu equat k aeeart describ reaction rate preexponenti factor ea activ energi;параметр аррениус;констант уравнен аррениус k aeeart описыва скорост реакц a предэкспоненциальн множител ea энерг активац
arrheniu plot;graph logarithm reaction rate plot reciproc absolut temperatur determin activ energi kinet;график аррениус;график зависим логарифм скорост реакц обратн величин абсолютн температур используем определен энерг активац кинетик
associ laguerr polynomi;famili orthogon polynomi aris quantum mechan particularli solut radial schrödinger equat hydrogenlik atom;присоединен полин лагерр;семейств ортогональн полином возника квантов механик решен радиальн уравнен шредингер водородоподобн атом
associ laguerr polynomi;famili orthogon polynomi aris solut associ laguerr differenti equat quantum mechan particularli solut radial schrödinger equat hydrogen atom;присоединен полином лагерр;семейств ортогональн полином возника решен присоединен дифференциальн уравнен лагерр используем квантов механик решен радиальн уравнен шредингер атом водород
asymmetr;lack symmetri balanc shape arrang distribut ident side central line axi;асимметричн;отсутств симметр баланс форм расположен распределен неидентичн об сторон центральн лин ос
asymmetr;molecul princip moment inertia differ lead complex rotat spectra unlik symmetr top rotat energi level describ singl quantum number make analysi intric spectroscopi;асимметричн волчок;молекул три главн момент инерц различн привод сложн вращательн спектр отлич симметричн волчк уровн энерг описа квантов числ усложня анализ спектроскоп
atmospher;layer gase surround planet celesti bodi held place graviti essenti life weather process earth;атмосфер;сло газ окружа планет небесн тел удержива гравитац необходим жизн погодн процесс земл
atom orbit;mathemat function describ wavelik behavior electron atom repres probabl distribut locat nucleu;атомн орбитал;математическ функц описыва волнообразн поведен электрон атом представля распределен вероятн нахожден ядр
atom orbit;mathemat function describ wavelik behavior electron atom determin probabl find electron specif region nucleu character quantum number form basi understand chemic bond electron configur;атомн орбита;математическ функц описыва волнообразн поведен электрон атом определя вероятн нахожден электрон определен област ядр характериз квантов числ лежат основ пониман химическ связ электрон конфигурац
atom radiu;averag distanc nucleu outermost electron shell atom typic measur picomet pm;атомн радиус;средн расстоян ядр внешн электрон оболочк атом измеря пикометр пм
atom spectra;uniqu pattern electromagnet radiat emit absorb atom electron transit differ energi level;атомн спектр;уникальн образц электромагнитн излучен испуска поглоща атом переход электрон различн энергетическ уровн
atom unit;system natur unit commonli physic chemistri atomicscal calcul fundament constant like electron mass charg planck constant set 1;атомн единиц;систем естествен единиц используем физик хим расчет атомн уровн фундаментальн констант масс электрон заряд постоя планк равн 1
atom weight;averag mass atom element weight isotop abund rel 112 mass carbon12 atom;атомн вес;средн масс атом элемент взвешен изотопн содержан относительн 112 масс атом углерода12
atom;smallest unit matter retain properti element consist nucleu proton neutron surround electron;атом;наименьш единиц веществ сохраня свойств элемент состоя ядр протон нейтрон окружен электрон
